vector_id,video_name,frame_path,frame_pos
233,video_078,c:\Crawl\video_retrieval_project\data\masks\video_078_frame000276.jpg,276
234,video_079,c:\Crawl\video_retrieval_project\data\masks\video_079_frame000117.jpg,117
235,video_079,c:\Crawl\video_retrieval_project\data\masks\video_079_frame000234.jpg,234
236,video_079,c:\Crawl\video_retrieval_project\data\masks\video_079_frame000351.jpg,351
237,video_080,c:\Crawl\video_retrieval_project\data\masks\video_080_frame000171.jpg,171
238,video_080,c:\Crawl\video_retrieval_project\data\masks\video_080_frame000342.jpg,342
239,video_080,c:\Crawl\video_retrieval_project\data\masks\video_080_frame000513.jpg,513
240,video_081,c:\Crawl\video_retrieval_project\data\masks\video_081_frame000215.jpg,215
241,video_081,c:\Crawl\video_retrieval_project\data\masks\video_081_frame000430.jpg,430
242,video_081,c:\Crawl\video_retrieval_project\data\masks\video_081_frame000645.jpg,645
243,video_082,c:\Crawl\video_retrieval_project\data\masks\video_082_frame000060.jpg,60
244,video_082,c:\Crawl\video_retrieval_project\data\masks\video_082_frame000120.jpg,120
245,video_082,c:\Crawl\video_retrieval_project\data\masks\video_082_frame000180.jpg,180
246,video_083,c:\Crawl\video_retrieval_project\data\masks\video_083_frame000076.jpg,76
247,video_083,c:\Crawl\video_retrieval_project\data\masks\video_083_frame000152.jpg,152
248,video_083,c:\Crawl\video_retrieval_project\data\masks\video_083_frame000228.jpg,228
249,video_084,c:\Crawl\video_retrieval_project\data\masks\video_084_frame000082.jpg,82
250,video_084,c:\Crawl\video_retrieval_project\data\masks\video_084_frame000164.jpg,164
251,video_084,c:\Crawl\video_retrieval_project\data\masks\video_084_frame000246.jpg,246
252,video_085,c:\Crawl\video_retrieval_project\data\masks\video_085_frame000129.jpg,129
253,video_085,c:\Crawl\video_retrieval_project\data\masks\video_085_frame000258.jpg,258
254,video_085,c:\Crawl\video_retrieval_project\data\masks\video_085_frame000387.jpg,387
255,video_086,c:\Crawl\video_retrieval_project\data\masks\video_086_frame000082.jpg,82
256,video_086,c:\Crawl\video_retrieval_project\data\masks\video_086_frame000164.jpg,164
257,video_086,c:\Crawl\video_retrieval_project\data\masks\video_086_frame000246.jpg,246
258,video_087,c:\Crawl\video_retrieval_project\data\masks\video_087_frame000092.jpg,92
259,video_087,c:\Crawl\video_retrieval_project\data\masks\video_087_frame000184.jpg,184
260,video_087,c:\Crawl\video_retrieval_project\data\masks\video_087_frame000276.jpg,276
261,video_088,c:\Crawl\video_retrieval_project\data\masks\video_088_frame000114.jpg,114
262,video_088,c:\Crawl\video_retrieval_project\data\masks\video_088_frame000228.jpg,228
263,video_088,c:\Crawl\video_retrieval_project\data\masks\video_088_frame000342.jpg,342
264,video_089,c:\Crawl\video_retrieval_project\data\masks\video_089_frame000250.jpg,250
265,video_089,c:\Crawl\video_retrieval_project\data\masks\video_089_frame000500.jpg,500
266,video_089,c:\Crawl\video_retrieval_project\data\masks\video_089_frame000750.jpg,750
267,video_090,c:\Crawl\video_retrieval_project\data\masks\video_090_frame000124.jpg,124
268,video_090,c:\Crawl\video_retrieval_project\data\masks\video_090_frame000248.jpg,248
269,video_090,c:\Crawl\video_retrieval_project\data\masks\video_090_frame000372.jpg,372
270,video_091,c:\Crawl\video_retrieval_project\data\masks\video_091_frame000071.jpg,71
271,video_091,c:\Crawl\video_retrieval_project\data\masks\video_091_frame000142.jpg,142
272,video_091,c:\Crawl\video_retrieval_project\data\masks\video_091_frame000213.jpg,213
273,video_092,c:\Crawl\video_retrieval_project\data\masks\video_092_frame000220.jpg,220
274,video_092,c:\Crawl\video_retrieval_project\data\masks\video_092_frame000440.jpg,440
275,video_092,c:\Crawl\video_retrieval_project\data\masks\video_092_frame000660.jpg,660
276,video_093,c:\Crawl\video_retrieval_project\data\masks\video_093_frame000066.jpg,66
277,video_093,c:\Crawl\video_retrieval_project\data\masks\video_093_frame000132.jpg,132
278,video_093,c:\Crawl\video_retrieval_project\data\masks\video_093_frame000198.jpg,198
279,video_094,c:\Crawl\video_retrieval_project\data\masks\video_094_frame000084.jpg,84
280,video_094,c:\Crawl\video_retrieval_project\data\masks\video_094_frame000168.jpg,168
281,video_094,c:\Crawl\video_retrieval_project\data\masks\video_094_frame000252.jpg,252
282,video_095,c:\Crawl\video_retrieval_project\data\masks\video_095_frame000200.jpg,200
283,video_095,c:\Crawl\video_retrieval_project\data\masks\video_095_frame000400.jpg,400
284,video_095,c:\Crawl\video_retrieval_project\data\masks\video_095_frame000600.jpg,600
285,video_096,c:\Crawl\video_retrieval_project\data\masks\video_096_frame000345.jpg,345
286,video_096,c:\Crawl\video_retrieval_project\data\masks\video_096_frame000690.jpg,690
287,video_096,c:\Crawl\video_retrieval_project\data\masks\video_096_frame001035.jpg,1035
288,video_097,c:\Crawl\video_retrieval_project\data\masks\video_097_frame000076.jpg,76
289,video_097,c:\Crawl\video_retrieval_project\data\masks\video_097_frame000152.jpg,152
290,video_097,c:\Crawl\video_retrieval_project\data\masks\video_097_frame000228.jpg,228
291,video_098,c:\Crawl\video_retrieval_project\data\masks\video_098_frame000165.jpg,165
292,video_098,c:\Crawl\video_retrieval_project\data\masks\video_098_frame000330.jpg,330
293,video_098,c:\Crawl\video_retrieval_project\data\masks\video_098_frame000495.jpg,495
294,video_099,c:\Crawl\video_retrieval_project\data\masks\video_099_frame000365.jpg,365
295,video_099,c:\Crawl\video_retrieval_project\data\masks\video_099_frame000730.jpg,730
296,video_099,c:\Crawl\video_retrieval_project\data\masks\video_099_frame001095.jpg,1095
297,video_100,c:\Crawl\video_retrieval_project\data\masks\video_100_frame000080.jpg,80
298,video_100,c:\Crawl\video_retrieval_project\data\masks\video_100_frame000160.jpg,160
299,video_100,c:\Crawl\video_retrieval_project\data\masks\video_100_frame000240.jpg,240
300,video_101,c:\Crawl\video_retrieval_project\data\masks\video_101_frame000088.jpg,88
301,video_101,c:\Crawl\video_retrieval_project\data\masks\video_101_frame000176.jpg,176
302,video_101,c:\Crawl\video_retrieval_project\data\masks\video_101_frame000264.jpg,264
303,video_102,c:\Crawl\video_retrieval_project\data\masks\video_102_frame000173.jpg,173
304,video_102,c:\Crawl\video_retrieval_project\data\masks\video_102_frame000346.jpg,346
305,video_102,c:\Crawl\video_retrieval_project\data\masks\video_102_frame000519.jpg,519
306,video_103,c:\Crawl\video_retrieval_project\data\masks\video_103_frame000083.jpg,83
307,video_103,c:\Crawl\video_retrieval_project\data\masks\video_103_frame000166.jpg,166
308,video_103,c:\Crawl\video_retrieval_project\data\masks\video_103_frame000249.jpg,249
309,video_104,c:\Crawl\video_retrieval_project\data\masks\video_104_frame000123.jpg,123
310,video_104,c:\Crawl\video_retrieval_project\data\masks\video_104_frame000246.jpg,246
311,video_104,c:\Crawl\video_retrieval_project\data\masks\video_104_frame000369.jpg,369
312,video_105,c:\Crawl\video_retrieval_project\data\masks\video_105_frame000403.jpg,403
313,video_105,c:\Crawl\video_retrieval_project\data\masks\video_105_frame000806.jpg,806
314,video_105,c:\Crawl\video_retrieval_project\data\masks\video_105_frame001209.jpg,1209
315,video_106,c:\Crawl\video_retrieval_project\data\masks\video_106_frame000207.jpg,207
316,video_106,c:\Crawl\video_retrieval_project\data\masks\video_106_frame000414.jpg,414
317,video_106,c:\Crawl\video_retrieval_project\data\masks\video_106_frame000621.jpg,621
318,video_107,c:\Crawl\video_retrieval_project\data\masks\video_107_frame000178.jpg,178
319,video_107,c:\Crawl\video_retrieval_project\data\masks\video_107_frame000356.jpg,356
320,video_107,c:\Crawl\video_retrieval_project\data\masks\video_107_frame000534.jpg,534
321,video_108,c:\Crawl\video_retrieval_project\data\masks\video_108_frame000140.jpg,140
322,video_108,c:\Crawl\video_retrieval_project\data\masks\video_108_frame000280.jpg,280
323,video_108,c:\Crawl\video_retrieval_project\data\masks\video_108_frame000420.jpg,420
